sample,old,new,status,override
PHcase_1,/data/project/stemcell/shannc/output/PHCase/EXOME/PHcase_1,/data/project/stemcell/shannc/output/cancer_ngs/exome/pdac/PHcase/PHcase-1/processed/variant_calling_shannc,success,False
PHcase_6,/data/project/stemcell/shannc/output/PHCase/EXOME/PHcase_6,/data/project/stemcell/shannc/output/cancer_ngs/exome/pdac/PHcase/PHcase-6/processed/variant_calling_shannc,success,False
