Signature,Proposed_Aetiology,Link,Collection
SBS94,Unknown,https://cancer.sanger.ac.uk/signatures/sbs/sbs94,SBS
SBS96,Unknown,https://cancer.sanger.ac.uk/signatures/sbs/sbs96,SBS
SBS97,Unknown,https://cancer.sanger.ac.uk/signatures/sbs/sbs97,SBS
SBS98,Unknown,https://cancer.sanger.ac.uk/signatures/sbs/sbs98,SBS
SBS99,Melphalan exposure,https://cancer.sanger.ac.uk/signatures/sbs/sbs99,SBS
SBS27,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs27/,SBS
SBS43,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs43/,SBS
SBS45,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs45/,SBS
SBS46,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs46/,SBS
SBS47,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs47/,SBS
SBS48,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs48/,SBS
SBS49,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs49/,SBS
SBS50,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs50/,SBS
SBS51,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs51/,SBS
SBS52,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs52/,SBS
SBS53,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs53/,SBS
SBS54,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs54/,SBS
SBS55,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs55/,SBS
SBS56,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs56/,SBS
SBS57,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs57/,SBS
SBS58,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs58/,SBS
SBS59,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs59/,SBS
SBS60,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs60/,SBS
SBS95,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/sbs/sbs95/,SBS
DBS1,Ultraviolet light exposure,https://cancer.sanger.ac.uk/signatures/dbs/dbs1,DBS
DBS2,Tobacco smoking and other mutagens (e.g. acetaldehyde),https://cancer.sanger.ac.uk/signatures/dbs/dbs2,DBS
DBS3,Polymerase epsilon exonuclease domain mutations,https://cancer.sanger.ac.uk/signatures/dbs/dbs3,DBS
DBS4,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs4,DBS
DBS5,Platinum chemotherapy treatment,https://cancer.sanger.ac.uk/signatures/dbs/dbs5,DBS
DBS6,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs6,DBS
DBS7,Defective DNA mismatch repair,https://cancer.sanger.ac.uk/signatures/dbs/dbs7,DBS
DBS8,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs8,DBS
DBS9,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs9,DBS
DBS10,Defective DNA mismatch repair,https://cancer.sanger.ac.uk/signatures/dbs/dbs10,DBS
DBS11,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs11,DBS
DBS12,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs12,DBS
DBS13,HR deficiency,https://cancer.sanger.ac.uk/signatures/dbs/dbs13,DBS
DBS15,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs15,DBS
DBS16,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs16,DBS
